#9 Dream|John Lenno|#9 Dream by John Lennon|1975
A Horse With No Name|America|A Horse With No Name by America|1972
A Life Of Illusion|Joe Walsh|A Life Of Illusion by Joe Walsh|1981
A Man I'll Never Be|Boston|A Man I'll Never Be by Boston|
A Salty Dog|Procol Harum|A Salty Dog by Procol Harum|1969
A Saturday Club Xmas/Crimble Medley|The Beatles|A Saturday Club Xmas/Crimble Medley by The Beatles|
A Trick of the Tail|Genesis|A Trick of the Tail by Genesis|1976
A Well Respected Man|The Kinks|A Well Respected Man by The Kinks|
A Whiter Shade of Pale|Procol Harum|A Whiter Shade of Pale by Procol Harum|1967
A Woman In Love|Tom Petty & The Heartbreakers|A Woman In Love by Tom Petty & The Heartbreakers|1981
Abacab|Genesis|Abacab by Genesis|1981
About a Girl|Nirvana|About a Girl by Nirvana|1989
Abracadabra|Steve Miller Band|Abracadabra by Steve Miller Band|1982
Across The Universe|The Beatles|Across The Universe by The Beatles|1970
Addicted to Love|Robert Palmer|Addicted to Love by Robert Palmer|1985
Addicted To That Rush|Mr. Big|Addicted To That Rush by Mr. Big|
AFRICA|Toto|AFRICA by Toto|1982
After Midnight|Eric Clapton|After Midnight by Eric Clapton|1970
Again Tonight|John Mellencamp|Again Tonight by John Mellencamp|
Against The Wind|Bob Seger|Against The Wind by Bob Seger|1980
Ah! Leah!|Donnie Iris|Ah! Leah! by Donnie Iris|1980
Ain't Even Done With the Night|John Mellencamp|Ain't Even Done With the Night by John Mellencamp|
AIN'T NO SUNSHINE|Bill Withers|AIN'T NO SUNSHINE by Bill Withers|1971
Ain't Talkin' 'bout Love|Van Halen|Ain't Talkin' 'bout Love by Van Halen|1978
Ain't That a Shame|Cheap Trick|Ain't That a Shame by Cheap Trick|
Ain't Too Proud to Beg|Rolling Stones|Ain't Too Proud to Beg by Rolling Stones|1974
Ain't Wastin' Time No More|Allman Brothers Band|Ain't Wastin' Time No More by Allman Brothers Band|1972
Alabama Getaway|Grateful Dead|Alabama Getaway by Grateful Dead|
Alison|Elvis Costello|Alison by Elvis Costello|1977
Alive|Pearl Jam|Alive by Pearl Jam|1991
All Along the Watchtower|Jimi Hendrix|All Along the Watchtower by Jimi Hendrix|1968
All Apologies|Nirvana|All Apologies by Nirvana|1993
All Day And All Of The Night|The Kinks|All Day And All Of The Night by The Kinks|1964
All I Wanna Do Is Make Love to You|Heart|All I Wanna Do Is Make Love to You by Heart|
All My Life|Foo Fighters|All My Life by Foo Fighters|2002
All My Love|Led Zeppelin|All My Love by Led Zeppelin|1979
All My Loving|The Beatles|All My Loving by The Beatles|1963
All Night Long|Joe Walsh|All Night Long by Joe Walsh|1980
All Right Now|Free|All Right Now by Free|1970
All She Wants to Do Is Dance|Don Henley|All She Wants to Do Is Dance by Don Henley|1985
All Star|Smash Mouth|All Star by Smash Mouth|1999
All Summer Long|Kid Rock|All Summer Long by Kid Rock|2007
All That You Dream|Little Feat|All That You Dream by Little Feat|
All The Girls Love Alice|Elton John|All The Girls Love Alice by Elton John|1973
All The Kings Horses|Firm|All The Kings Horses by Firm|
All the Small Things|Blink-182|All the Small Things by Blink-182|1999
All the Young Dudes|Mott the Hoople|All the Young Dudes by Mott the Hoople|1972
ALL YOU ZOMBIES|Hooters|ALL YOU ZOMBIES by Hooters|1985
Allentown|Billy Joel|Allentown by Billy Joel|1982
Almost Hear You Sigh|Rolling Stones|Almost Hear You Sigh by Rolling Stones|1989
Alone|Heart|Alone by Heart|1987
Already Gone|Eagles|Already Gone by Eagles|1974
Amanda|Boston|Amanda by Boston|1986
American Dream Plan B|Tom Petty & The Heartbreakers|American Dream Plan B by Tom Petty & The Heartbreakers|
American Girl|Tom Petty & The Heartbreakers|American Girl by Tom Petty & The Heartbreakers|1977
American Pie|Don McLean|American Pie by Don McLean|1971
American Woman|Guess Who|American Woman by Guess Who|1970
American Woman|Lenny Kravitz|American Woman by Lenny Kravitz|1998
Amie|Pure Prairie League|Amie by Pure Prairie League|
Analog Man|Joe Walsh|Analog Man by Joe Walsh|2012
And It Stoned Me|Van Morrison|And It Stoned Me by Van Morrison|
And She Was|Talking Heads|And She Was by Talking Heads|1985
And the Cradle Will Rock...|Van Halen|And the Cradle Will Rock... by Van Halen|1980
AND WE DANCED|Hooters|AND WE DANCED by Hooters|1985
And Your Bird Can Sing|The Beatles|And Your Bird Can Sing by The Beatles|1966
Angel|Aerosmith|Angel by Aerosmith|1987
Angel|Jimi Hendrix|Angel by Jimi Hendrix|1971
Angel Of Harlem|U2|Angel Of Harlem by U2|1988
ANGELOS|Dick Siegel|ANGELOS by Dick Siegel|
Angie|Rolling Stones|Angie by Rolling Stones|1973
Animal|Def Leppard|Animal by Def Leppard|1987
Another Brick In The Wall|Pink Floyd|Another Brick In The Wall by Pink Floyd|1979
Another Day|Paul McCartney & Wings|Another Day by Paul McCartney & Wings|
Another One Bites the Dust|Queen|Another One Bites the Dust by Queen|1980
Another Rainy Night|Queensryche|Another Rainy Night by Queensryche|1990
ANOTHER TRICKY DAY|The Who|ANOTHER TRICKY DAY by The Who|
Any Colour You Like|Pink Floyd|Any Colour You Like by Pink Floyd|1973
Any Way You Want It|Journey|Any Way You Want It by Journey|1980
ANYTIME AT ALL|The Beatles|ANYTIME AT ALL by The Beatles|1964
Apeman|The Kinks|Apeman by The Kinks|1971
Aqualung|Jethro Tull|Aqualung by Jethro Tull|1971
Are You Experienced?|Jimi Hendrix|Are You Experienced? by Jimi Hendrix|1967
Are You Gonna Be My Girl|Jet|Are You Gonna Be My Girl by Jet|2003
Are You Gonna Go My Way|Lenny Kravitz|Are You Gonna Go My Way by Lenny Kravitz|1993
Are You Receiving Me|Golden Earring|Are You Receiving Me by Golden Earring|1973
Armageddon It|Def Leppard|Armageddon It by Def Leppard|1987
Arnold Layne|Pink Floyd|Arnold Layne by Pink Floyd|1967
Arrested For Driving While Blind|ZZ Top|Arrested For Driving While Blind by ZZ Top|1976
Art For Arts Sake|10cc|Art For Arts Sake by 10cc|1975
AS FAR AS YOU CAN SEE (AS MU|Gypsy|AS FAR AS YOU CAN SEE (AS MU by Gypsy|
Astronomy Domine|Pink Floyd|Astronomy Domine by Pink Floyd|1967
Athena|The Who|Athena by The Who|1982
Atlantic City|Bruce Springsteen|Atlantic City by Bruce Springsteen|1982
Atomic Punk|Van Halen|Atomic Punk by Van Halen|
Authority Song|John Mellencamp|Authority Song by John Mellencamp|1983
Axel F Theme|Harold Faltermeyer|Axel F Theme by Harold Faltermeyer|1984
Baba O'Reilly|The Who|Baba O'Reilly by The Who|1971
Babe I'm Gonna Leave You|Led Zeppelin|Babe I'm Gonna Leave You by Led Zeppelin|1969
Baby Come Back|Billy Rankin|Baby Come Back by Billy Rankin|
Baby Hold On|Eddie Money|Baby Hold On by Eddie Money|1977
Baby You're A Rich Man|The Beatles|Baby You're A Rich Man by The Beatles|1967
Back Door Man|The Doors|Back Door Man by The Doors|1967
Back for More|Ratt|Back for More by Ratt|
Back In Black|AC/DC|Back In Black by AC/DC|1980
Back In the High Life Again|Steve Winwood|Back In the High Life Again by Steve Winwood|1986
Back in the Saddle|Aerosmith|Back in the Saddle by Aerosmith|1976
Back In the U.S.S.R.|The Beatles|Back In the U.S.S.R. by The Beatles|1968
Back Off Boogaloo|Ringo Starr|Back Off Boogaloo by Ringo Starr|1972
Back On My Feet Again|The Babys|Back On My Feet Again by The Babys|
Back On The Chain Gang|The Pretenders|Back On The Chain Gang by The Pretenders|1982
Back On The Road Again|REO Speedwagon|Back On The Road Again by REO Speedwagon|
Backstreets|Bruce Springsteen|Backstreets by Bruce Springsteen|1975
Bad|U2|Bad by U2|1984
BAD BOY|The Beatles|BAD BOY by The Beatles|1965
Bad Case Of Lovin' You|Robert Palmer|Bad Case Of Lovin' You by Robert Palmer|1979
Bad Company|Bad Company|Bad Company by Bad Company|1974
Bad Love|Eric Clapton|Bad Love by Eric Clapton|1989
Bad Medicine|Bon Jovi|Bad Medicine by Bon Jovi|1988
Bad Moon Rising|Creedence Clearwater Revival|Bad Moon Rising by Creedence Clearwater Revival|1969
Bad Motor Scooter|Montrose|Bad Motor Scooter by Montrose|1973
Bad Reputation|Joan Jett|Bad Reputation by Joan Jett|1981
Bad Time|Grand Funk Railroad|Bad Time by Grand Funk Railroad|1974
Bad to the Bone|George Thorogood|Bad to the Bone by George Thorogood|1982
Badge|Cream|Badge by Cream|1969
Badlands|Bruce Springsteen|Badlands by Bruce Springsteen|1978
Baker Street|Foo Fighters|Baker Street by Foo Fighters|
Baker Street|Gerry Rafferty|Baker Street by Gerry Rafferty|1978
BALLAD OF JOHN AND YOKO|The Beatles|BALLAD OF JOHN AND YOKO by The Beatles|
Ballroom Blitz|Sweet|Ballroom Blitz by Sweet|1973
Band on the Run|Paul McCartney & Wings|Band on the Run by Paul McCartney & Wings|1973
Bang a Gong (Get It On)|T. Rex|Bang a Gong (Get It On) by T. Rex|1971
Bang the Drum All Day|Todd Rundgren|Bang the Drum All Day by Todd Rundgren|1983
Bang Your Head|Quiet Riot|Bang Your Head by Quiet Riot|
Bargain|The Who|Bargain by The Who|1971
Bark At The Moon|Ozzy Osbourne|Bark At The Moon by Ozzy Osbourne|1983
Barracuda|Heart|Barracuda by Heart|1977
Basket Case|Green Day|Basket Case by Green Day|1994
BE MY LOVER|Alice Cooper|BE MY LOVER by Alice Cooper|
Beast Of Burden|Rolling Stones|Beast Of Burden by Rolling Stones|1978
Beautiful Day|U2|Beautiful Day by U2|2000
Beautiful Girls|Van Halen|Beautiful Girls by Van Halen|1979
Bebe le Strange|Heart|Bebe le Strange by Heart|
Beds Are Burning|Midnight Oil|Beds Are Burning by Midnight Oil|1988
Been Caught Stealing|Jane's Addiction|Been Caught Stealing by Jane's Addiction|1990
Beer Drinkers & Hell Raisers|ZZ Top|Beer Drinkers & Hell Raisers by ZZ Top|1973
Beginnings|Chicago|Beginnings by Chicago|
Behind Blue Eyes|The Who|Behind Blue Eyes by The Who|1971
Behind The Lines|Genesis|Behind The Lines by Genesis|
Bell Bottom Blues|Derek & The Dominos|Bell Bottom Blues by Derek & The Dominos|1970
Bennie And The Jets|Elton John|Bennie And The Jets by Elton John|1973
Best Of Both Worlds|Van Halen|Best Of Both Worlds by Van Halen|
Best of You|Foo Fighters|Best of You by Foo Fighters|2005
Beth|Kiss|Beth by Kiss|1976
Better Man|Pearl Jam|Better Man by Pearl Jam|1994
Better Off Without You|Clarks|Better Off Without You by Clarks|
Betty Lou's Gettin' Out Tonigh|Bob Seger|Betty Lou's Gettin' Out Tonigh by Bob Seger|
Bicycle Race|Queen|Bicycle Race by Queen|1978
Bicycle Race/fat Bottomed Girls|Queen|Bicycle Race/fat Bottomed Girls by Queen|1978
Big City Nights|Scorpions|Big City Nights by Scorpions|1984
Big Empty|Stone Temple Pilots|Big Empty by Stone Temple Pilots|1994
Big Gun|AC/DC|Big Gun by AC/DC|1993
Big Log|Robert Plant|Big Log by Robert Plant|1983
Big Shot|Billy Joel|Big Shot by Billy Joel|1978
Big Ten Inch|Aerosmith|Big Ten Inch by Aerosmith|1975
Big Time|Peter Gabriel|Big Time by Peter Gabriel|1986
Billion Dollar Babies|Alice Cooper|Billion Dollar Babies by Alice Cooper|1973
Birthday|The Beatles|Birthday by The Beatles|1969
Birthday (Live)|Paul McCartney & Wings|Birthday (Live) by Paul McCartney & Wings|
Bitch|Rolling Stones|Bitch by Rolling Stones|1971
Black|Pearl Jam|Black by Pearl Jam|1991
Black And Blue|Van Halen|Black And Blue by Van Halen|
Black Betty|Ram Jam|Black Betty by Ram Jam|1977
Black Coffee In Bed|Squeeze|Black Coffee In Bed by Squeeze|1982
Black Cow|Steely Dan|Black Cow by Steely Dan|1977
Black Dog|Led Zeppelin|Black Dog by Led Zeppelin|1971
Black Hole Sun|Soundgarden|Black Hole Sun by Soundgarden|1994
Black Magic Woman|Santana|Black Magic Woman by Santana|1970
Black Mountain Side|Led Zeppelin|Black Mountain Side by Led Zeppelin|1969
Black Velvet|Alannah Myles|Black Velvet by Alannah Myles|1989
Black Water|The Doobie Brothers|Black Water by The Doobie Brothers|1974
Black-Throated Wind|Grateful Dead|Black-Throated Wind by Grateful Dead|
Blackbird|The Beatles|Blackbird by The Beatles|1968
Blackout|Scorpions|Blackout by Scorpions|1982
Blaze of Glory|Bon Jovi|Blaze of Glory by Bon Jovi|1990
Blinded By the Light|Bruce Springsteen|Blinded By the Light by Bruce Springsteen|1973
Blinded by the Light|Manfred Mann|Blinded by the Light by Manfred Mann|1976
Blister In the Sun|Violent Femmes|Blister In the Sun by Violent Femmes|1982
Blitzkrieg Bop|The Ramones|Blitzkrieg Bop by The Ramones|1976
Blondes In Black Cars|Autograph|Blondes In Black Cars by Autograph|
Bloody Well Right|Supertramp|Bloody Well Right by Supertramp|1974
Blue Collar Man|Styx|Blue Collar Man by Styx|1978
Blue Letter|Fleetwood Mac|Blue Letter by Fleetwood Mac|
BLUE MONEY|Van Morrison|BLUE MONEY by Van Morrison|
Blue On Black|Kenny Wayne Shepherd|Blue On Black by Kenny Wayne Shepherd|
Blue Sky|Allman Brothers Band|Blue Sky by Allman Brothers Band|1972
Blurry|Puddle of Mudd|Blurry by Puddle of Mudd|2001
Bohemian Rhapsody|Queen|Bohemian Rhapsody by Queen|1975
Bon Voyage|Coyot||
Bonzo's Montreaux|Led Zeppelin|Bonzo's Montreaux by Led Zeppelin|1982
Boogie With Stu|Led Zeppelin|Boogie With Stu by Led Zeppelin|1975
Boom Boom/|Pat Travers|Boom Boom/ by Pat Travers|
Born In the U.S.A.|Bruce Springsteen|Born In the U.S.A. by Bruce Springsteen|1984
Born On the Bayou|Creedence Clearwater Revival|Born On the Bayou by Creedence Clearwater Revival|1969
Born To Be My Baby|Bon Jovi|Born To Be My Baby by Bon Jovi|1989
Born to Be Wild|Steppenwolf|Born to Be Wild by Steppenwolf|1968
Born To Run|Bruce Springsteen|Born To Run by Bruce Springsteen|1975
Born Too Late|Clarks|Born Too Late by Clarks|
Born Under A Bad Sign|Cream|Born Under A Bad Sign by Cream|
Boulevard|Jackson Browne|Boulevard by Jackson Browne|
Boulevard Of Broken Dreams|Green Day|Boulevard Of Broken Dreams by Green Day|2004
Bound for the Floor|Local H|Bound for the Floor by Local H|1996
Brain Damage|Pink Floyd|Brain Damage by Pink Floyd|1973
Brain Damage /Eclipse|Pink Floyd|Brain Damage /Eclipse by Pink Floyd|1973
Brain Stew/Jaded|Green Day|Brain Stew/Jaded by Green Day|1995
Brass In Pocket|The Pretenders|Brass In Pocket by The Pretenders|1980
Breadfan|Metallica|Breadfan by Metallica|1998
Break On Through|The Doors|Break On Through by The Doors|1967
Breakdown|The Alan Parsons Project|Breakdown by The Alan Parsons Project|1977
Breakdown|Tom Petty & The Heartbreakers|Breakdown by Tom Petty & The Heartbreakers|1977
Breakfast in America|Supertramp|Breakfast in America by Supertramp|1979
Breaking the Girl|Red Hot Chili Peppers|Breaking the Girl by Red Hot Chili Peppers|1992
Breaking The Law|Judas Priest|Breaking The Law by Judas Priest|1980
Breathe|Pink Floyd|Breathe by Pink Floyd|1973
Brickyard Road|Johnny Van Zant|Brickyard Road by Johnny Van Zant|1990
Bridge of Sighs|Robin Trower|Bridge of Sighs by Robin Trower|1974
Bring It On Home|Led Zeppelin|Bring It On Home by Led Zeppelin|1969
Bringin' On The Heartbreak|Def Leppard|Bringin' On The Heartbreak by Def Leppard|
Bron-y-aur Stomp|Led Zeppelin|Bron-y-aur Stomp by Led Zeppelin|1970
Brothers In Arms|Dire Straits|Brothers In Arms by Dire Straits|1985
Brown Eyed Girl|Van Morrison|Brown Eyed Girl by Van Morrison|1967
Brown Sugar|Rolling Stones|Brown Sugar by Rolling Stones|1971
Bucks Boogie|Blue Oyster Cult|Bucks Boogie by Blue Oyster Cult|
Buddy Holly|Weezer|Buddy Holly by Weezer|1994
Bullet the Blue Sky|U2|Bullet the Blue Sky by U2|1987
Bullet With Butterfly Wings|Smashing Pumpkins|Bullet With Butterfly Wings by Smashing Pumpkins|1995
Bullfrog Blues|Rory Gallagher|Bullfrog Blues by Rory Gallagher|SONGFACTS.COM
Bungle In The Jungle|Jethro Tull|Bungle In The Jungle by Jethro Tull|1974
Burden in My Hand|Soundgarden|Burden in My Hand by Soundgarden|1996
Burn|Deep Purple|Burn by Deep Purple|1974
Burnin' for You|Blue Oyster Cult|Burnin' for You by Blue Oyster Cult|1981
Burnin' Sky|Bad Company|Burnin' Sky by Bad Company|1977
Burning Down the House|Talking Heads|Burning Down the House by Talking Heads|1983
By the Way|Red Hot Chili Peppers|By the Way by Red Hot Chili Peppers|2002
Bye Bye Love|The Cars|Bye Bye Love by The Cars|1978
CALIFORNIA DREAMIN'|The Mamas |CALIFORNIA DREAMIN' by The Mamas |1966
California Girls|David Lee Roth|California Girls by David Lee Roth|
Californication|Red Hot Chili Peppers|Californication by Red Hot Chili Peppers|1999
Call Me|Blondie|Call Me by Blondie|1980
Call Me the Breeze|Eric Clapton|Call Me the Breeze by Eric Clapton|
Call Me the Breeze|Lynyrd Skynyrd|Call Me the Breeze by Lynyrd Skynyrd|1974
Calling Dr. Love|Kiss|Calling Dr. Love by Kiss|1976
Can't Buy Me Love|The Beatles|Can't Buy Me Love by The Beatles|1964
Can't Find My Way Home|Blind Faith|Can't Find My Way Home by Blind Faith|1969
Can't Get Enough|Bad Company|Can't Get Enough by Bad Company|1974
Can't Get Enough|Winger|Can't Get Enough by Winger|
CAN'T GET IT OUT OF MY HEAD|Electric Light Orchestra|CAN'T GET IT OUT OF MY HEAD by Electric Light Orchestra|1974
Can't Get Loose|Sammy Hagar|Can't Get Loose by Sammy Hagar|
Can't Stand Losing You|The Police|Can't Stand Losing You by The Police|1978
CAN'T STOP ROCK'N'ROLL|AC/DC|CAN'T STOP ROCK'N'ROLL by AC/DC|
Can't You Hear Me Knocking|Rolling Stones|Can't You Hear Me Knocking by Rolling Stones|1971
Can't You See|The Marshall Tucker Band|Can't You See by The Marshall Tucker Band|1973
Candle in the Wind|Elton John|Candle in the Wind by Elton John|1973
Candy-o|The Cars|Candy-o by The Cars|
Captain Fantastic|Elton John|Captain Fantastic by Elton John|1975
Captain Jack|Billy Joel|Captain Jack by Billy Joel|1973
CAROL|Rolling Stones|CAROL by Rolling Stones|
Carpet Crawlers|Genesis|Carpet Crawlers by Genesis|
Carry On Wayward Son|Kansas|Carry On Wayward Son by Kansas|1976
CARS|Gary Numan|CARS by Gary Numan|1979
Casey Jones|Grateful Dead|Casey Jones by Grateful Dead|1970
Cat Scratch Fever|Ted Nugent|Cat Scratch Fever by Ted Nugent|1977
Cat's In The Cradle|Harry Chapin|Cat's In The Cradle by Harry Chapin|1974
Caught Up in You|.38 Special|Caught Up in You by .38 Special|1982
Cecilia|Simon & Garfunkel|Cecilia by Simon & Garfunkel|1970
Celebration Day|Led Zeppelin|Celebration Day by Led Zeppelin|1970
Centerfield|John Fogerty|Centerfield by John Fogerty|1985
Centerfold|J. Geils Band|Centerfold by J. Geils Band|1981
Change of Heart|Tom Petty & The Heartbreakers|Change of Heart by Tom Petty & The Heartbreakers|
Changes|David Bowie|Changes by David Bowie|1971
Changes|Ozzy Osbourne|Changes by Ozzy Osbourne|
Changes|Yes|Changes by Yes|1983
Cheap Sunglasses|ZZ Top|Cheap Sunglasses by ZZ Top|1980
Check It Out|John Mellencamp|Check It Out by John Mellencamp|
Cherry Bomb|John Mellencamp|Cherry Bomb by John Mellencamp|
Cherry Pie|Warrant|Cherry Pie by Warrant|1990
Chest Fever|The Band|Chest Fever by The Band|1968
Child In Time|Deep Purple|Child In Time by Deep Purple|1970
Children Of The Sun|Billy Thorpe|Children Of The Sun by Billy Thorpe|
China Girl|David Bowie|China Girl by David Bowie|1983
China Grove|The Doobie Brothers|China Grove by The Doobie Brothers|1973
CHINA TOWN SHUFFLE |Grateful Dead|CHINA TOWN SHUFFLE  by Grateful Dead|
Christeen Sixteen|Kiss|Christeen Sixteen by Kiss|
Cigarette|Clarks|Cigarette by Clarks|
Cinnamon Girl|Neil Young|Cinnamon Girl by Neil Young|1969
City of the Angels|Journey|City of the Angels by Journey|
Civil War|Guns N' Roses|Civil War by Guns N' Roses|1991
Clampdown|The Clash|Clampdown by The Clash|1979
Cliffs Of Dover|Eric Johnson|Cliffs Of Dover by Eric Johnson|1990
Close My Eyes Forever|Lita Ford|Close My Eyes Forever by Lita Ford|1988
Closer To Home (I'm Your Captain)|Grand Funk Railroad|Closer To Home (I'm Your Captain) by Grand Funk Railroad|1970
Closer to the Heart|Rush|Closer to the Heart by Rush|1977
Cocaine|Eric Clapton|Cocaine by Eric Clapton|1977
Cold As Ice|Foreigner|Cold As Ice by Foreigner|1977
Cold Gin|Kiss|Cold Gin by Kiss|1973
Cold Hard Bitch|Jet|Cold Hard Bitch by Jet|2004
Cold Shot|Stevie Ray Vaughan|Cold Shot by Stevie Ray Vaughan|
Come As You Are|Nirvana|Come As You Are by Nirvana|1991
Come Dancing|The Kinks|Come Dancing by The Kinks|1983
Come Out and Play|The Offspring|Come Out and Play by The Offspring|1994
Come Sail Away|Styx|Come Sail Away by Styx|1977
Come to Poppa|Bob Seger|Come to Poppa by Bob Seger|
Come Together|Aerosmith|Come Together by Aerosmith|
Come Together|The Beatles|Come Together by The Beatles|1969
Comedown|Bush|Comedown by Bush|1994
Comfortably Numb|Pink Floyd|Comfortably Numb by Pink Floyd|1979
Coming Home|Cinderella|Coming Home by Cinderella|1988
Coming into Los Angeles|Arlo Guthrie|Coming into Los Angeles by Arlo Guthrie|
Coming Up|Paul McCartney & Wings|Coming Up by Paul McCartney & Wings|1980
Commotion|Creedence Clearwater Revival|Commotion by Creedence Clearwater Revival|
Communication Breakdown|Led Zeppelin|Communication Breakdown by Led Zeppelin|1969
Conquistador|London Symphony Orchestra|Conquistador by London Symphony Orchestra|1967
Cool The Engines|Boston|Cool The Engines by Boston|
Copperhead Road|Steve Earle|Copperhead Road by Steve Earle|1988
Couldn't Stand the Weather|Stevie Ray Vaughan|Couldn't Stand the Weather by Stevie Ray Vaughan|
Counting Blue Cars|Dishwalla|Counting Blue Cars by Dishwalla|1995
Cover Me|Bruce Springsteen|Cover Me by Bruce Springsteen|1984
COVER OF THE ROLLING STONE|Dr. Hook & the Medicine Show|COVER OF THE ROLLING STONE by Dr. Hook & the Medicine Show|
Cowboy|Kid Rock|Cowboy by Kid Rock|1998
Cradle of Love|Billy Idol|Cradle of Love by Billy Idol|1990
Crazy|Aerosmith|Crazy by Aerosmith|1993
Crazy Little Thing Called Love|Queen|Crazy Little Thing Called Love by Queen|1979
CRAZY LOVE|Van Morrison|CRAZY LOVE by Van Morrison|1970
Crazy On You|Heart|Crazy On You by Heart|1976
Crazy Train|Ozzy Osbourne|Crazy Train by Ozzy Osbourne|1980
Creep|Stone Temple Pilots|Creep by Stone Temple Pilots|1993
Crimson And Clover|Joan Jett|Crimson And Clover by Joan Jett|
Crocodile Rock|Elton John|Crocodile Rock by Elton John|1972
Cross-eyed Mary|Jethro Tull|Cross-eyed Mary by Jethro Tull|1971
Crossfire|Stevie Ray Vaughan|Crossfire by Stevie Ray Vaughan|1989
Crossroads|Cream|Crossroads by Cream|1968
Crosstown Traffic|Jimi Hendrix|Crosstown Traffic by Jimi Hendrix|1968
Cruisin'|Michael Nesmith|Cruisin' by Michael Nesmith|
Crumblin' Down|John Mellencamp|Crumblin' Down by John Mellencamp|1983
Cry For A Shadow|The Beatles|Cry For A Shadow by The Beatles|1961
Cry Me a River|Joe Cocker|Cry Me a River by Joe Cocker|
Cry Sister|Royal Bliss|Cry Sister by Royal Bliss|
Cryin'|Aerosmith|Cryin' by Aerosmith|1993
Crystal Ball|Styx|Crystal Ball by Styx|
Cult Of Personality|Living Colour|Cult Of Personality by Living Colour|1988
Cum On Feel the Noize|Quiet Riot|Cum On Feel the Noize by Quiet Riot|
Custard Pie|Led Zeppelin|Custard Pie by Led Zeppelin|1975
Cuts Like a Knife|Bryan Adams|Cuts Like a Knife by Bryan Adams|1983
D'Yer Mak'er|Led Zeppelin|D'Yer Mak'er by Led Zeppelin|1973
Da Da Doo Ron Ron|Rolling Stones|Da Da Doo Ron Ron by Rolling Stones|
Dance Little Sister|Rolling Stones|Dance Little Sister by Rolling Stones|1980
Dance the Night Away|Van Halen|Dance the Night Away by Van Halen|1979
Dancing Days|Led Zeppelin|Dancing Days by Led Zeppelin|1973
Dancing In the Dark|Bruce Springsteen|Dancing In the Dark by Bruce Springsteen|1984
Dancing In the Street|Van Halen|Dancing In the Street by Van Halen|1982
Dancing With Myself|Billy Idol|Dancing With Myself by Billy Idol|1980
Dangerious Type|The Cars|Dangerious Type by The Cars|
Dani California|Red Hot Chili Peppers|Dani California by Red Hot Chili Peppers|2006
DANIEL|Elton John|DANIEL by Elton John|1973
Darlene|Led Zeppelin|Darlene by Led Zeppelin|1982
Daughter|Pearl Jam|Daughter by Pearl Jam|1993
Day Tripper|Paul McCartney & Wings|Day Tripper by Paul McCartney & Wings|
Day Tripper|The Beatles|Day Tripper by The Beatles|1965
Dazed and Confused|Led Zeppelin|Dazed and Confused by Led Zeppelin|1969
Deacon Blues|Steely Dan|Deacon Blues by Steely Dan|1977
Dear Mr. Fantasy|Traffic|Dear Mr. Fantasy by Traffic|
Dear Prudence|The Beatles|Dear Prudence by The Beatles|1968
December|Collective Soul|December by Collective Soul|
Delaware Slide|George Thorogood|Delaware Slide by George Thorogood|
Desire|U2|Desire by U2|1988
Desperado|Eagles|Desperado by Eagles|1973
Destroyer|The Kinks|Destroyer by The Kinks|1981
Detroit Rock City|Kiss|Detroit Rock City by Kiss|1976
Devil Inside|INXS|Devil Inside by INXS|1988
Devil With the Blue Dress On|Mitch Ryder|Devil With the Blue Dress On by Mitch Ryder|1966
